"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"1","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Akademia Ateneum w Gdańsku","2023-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","zawodowa","2004-07-02","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"2","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Akademia Ateneum w Gdańsku","2023-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","akademicka","2022-10-01","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"3","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum - Szkoła Wyższa w Gdańsku","2004-07-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","zawodowa","2004-07-02","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"4","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum - Szkoła Wyższa w Gdańsku","2004-07-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","akademicka","2022-10-01","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"5","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum – Akademia Nauk Stosowanych","2022-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","zawodowa","2004-07-02","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"6","404c795b-7344-452b-b4c2-4a7a3496dd9e","Akademia Ateneum w Gdańsku","2004-07-02","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","193055907","9570885833","","177","297","","http://www.ateneum.edu.pl","rektor@ateneum.edu.pl","058-7220880","","Polska","pomorskie","ul. 3 Maja","25 A","80-802","Gdańsk","","",,,,,"Ateneum – Akademia Nauk Stosowanych","2022-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-07-02","Działająca","2004-07-02","akademicka","2022-10-01","ul. 3 Maja 25 A, 80-802 Gdańsk, woj. pomorskie, Polska","2004-07-02"
"7","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"8","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"9","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"10","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Akademia Ekonomiczno-Humanistyczna w Warszawie","2018-10-31","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
